These are all the unique starting position that can yield the maximum amount of points for 3 lines (70 points)
('X', 'X', 'X', '0', 'X')
('X', '0', 'X', 'X', 'X')
('0', 'X', 'X', 'X', 'X')

('X', 'X', 'X', '0', 'X')
('0', 'X', 'X', 'X', 'X')
('X', '0', 'X', 'X', 'X')

('X', 'X', 'X', 'X', '0')
('X', 'X', '0', 'X', 'X')
('0', 'X', 'X', 'X', 'X')

('0', 'X', 'X', 'X', 'X')
('X', 'X', 'X', '0', 'X')
('X', 'X', 'X', 'X', '0')

('X', 'X', '0', 'X', 'X')
('X', '0', 'X', 'X', 'X')
('X', 'X', 'X', 'X', '0')

('X', '0', 'X', 'X', 'X')
('X', 'X', '0', 'X', 'X')
('X', 'X', 'X', '0', 'X')

('X', 'X', '0', 'X', 'X')
('X', '0', 'X', 'X', 'X')
('0', 'X', 'X', 'X', 'X')

('X', 'X', '0', 'X', 'X')
('X', 'X', 'X', '0', 'X')
('X', '0', 'X', 'X', 'X')

('X', 'X', 'X', 'X', '0')
('X', '0', 'X', 'X', 'X')
('0', 'X', 'X', 'X', 'X')

('X', 'X', 'X', 'X', '0')
('X', 'X', 'X', '0', 'X')
('X', '0', 'X', 'X', 'X')

('X', '0', 'X', 'X', 'X')
('X', 'X', 'X', '0', 'X')
('X', 'X', 'X', 'X', '0')

('X', 'X', '0', 'X', 'X')
('0', 'X', 'X', 'X', 'X')
('X', '0', 'X', 'X', 'X')

('X', 'X', 'X', 'X', '0')
('X', 'X', 'X', '0', 'X')
('X', 'X', '0', 'X', 'X')

('X', 'X', 'X', '0', 'X')
('X', 'X', '0', 'X', 'X')
('X', '0', 'X', 'X', 'X')

('0', 'X', 'X', 'X', 'X')
('X', '0', 'X', 'X', 'X')
('X', 'X', '0', 'X', 'X')

('X', 'X', '0', 'X', 'X')
('X', '0', 'X', 'X', 'X')
('X', 'X', 'X', '0', 'X')

('X', 'X', 'X', 'X', '0')
('0', 'X', 'X', 'X', 'X')
('X', '0', 'X', 'X', 'X')

('0', 'X', 'X', 'X', 'X')
('X', 'X', 'X', 'X', '0')
('X', 'X', 'X', '0', 'X')

('X', 'X', '0', 'X', 'X')
('X', 'X', 'X', '0', 'X')
('X', 'X', 'X', 'X', '0')

('X', 'X', '0', 'X', 'X')
('X', 'X', 'X', '0', 'X')
('0', 'X', 'X', 'X', 'X')

('X', '0', 'X', 'X', 'X')
('X', 'X', 'X', 'X', '0')
('X', 'X', 'X', '0', 'X')

('X', 'X', 'X', '0', 'X')
('X', '0', 'X', 'X', 'X')
('X', 'X', '0', 'X', 'X')

('0', 'X', 'X', 'X', 'X')
('X', 'X', '0', 'X', 'X')
('X', 'X', 'X', 'X', '0')

('X', 'X', 'X', 'X', '0')
('X', 'X', 'X', '0', 'X')
('0', 'X', 'X', 'X', 'X')

('X', 'X', 'X', 'X', '0')
('X', 'X', '0', 'X', 'X')
('X', '0', 'X', 'X', 'X')

('0', 'X', 'X', 'X', 'X')
('X', '0', 'X', 'X', 'X')
('X', 'X', 'X', 'X', '0')

('X', 'X', 'X', '0', 'X')
('X', 'X', '0', 'X', 'X')
('X', 'X', 'X', 'X', '0')

('X', 'X', 'X', '0', 'X')
('X', 'X', '0', 'X', 'X')
('0', 'X', 'X', 'X', 'X')

('0', 'X', 'X', 'X', 'X')
('X', 'X', 'X', '0', 'X')
('X', 'X', '0', 'X', 'X')

('X', 'X', 'X', 'X', '0')
('X', '0', 'X', 'X', 'X')
('X', 'X', '0', 'X', 'X')

('0', 'X', 'X', 'X', 'X')
('X', 'X', '0', 'X', 'X')
('X', 'X', 'X', '0', 'X')

('X', 'X', '0', 'X', 'X')
('X', 'X', 'X', 'X', '0')
('X', 'X', 'X', '0', 'X')

('X', '0', 'X', 'X', 'X')
('X', 'X', '0', 'X', 'X')
('X', 'X', 'X', 'X', '0')

('X', '0', 'X', 'X', 'X')
('X', 'X', 'X', '0', 'X')
('X', 'X', '0', 'X', 'X')

('0', 'X', 'X', 'X', 'X')
('X', '0', 'X', 'X', 'X')
('X', 'X', 'X', '0', 'X')

('X', '0', 'X', 'X', 'X')
('X', 'X', '0', 'X', 'X')
('0', 'X', 'X', 'X', 'X')
